start,end,N,SS,TajD,ZngE,FayH,bsfs,FerL,FulD,btree,Colless,path,iColless,ibtree
0,100001,50,399,-0.4660254907866881,-0.032395924060765836,-0.06072257499384829,-0.7794702975608658,-0.23749690028499754,0.9766257796417628,-0.338806596290268,0.13881401617250666,3080000,0.16099773242630386,-0.974548211133356
0,100001,50,463,0.08162247360943282,-0.26169247298432985,0.04671188239113195,0.4749569910484985,0.3465993142110678,-0.7332044272035878,0.5426275448071416,0.1118070990772547,3080001,0.11649005756148613,0.3677003488030823
0,100001,50,511,0.04623346229731247,0.6280544992092698,-0.07819112428253508,-0.12980465427419866,-0.6889044352766669,-0.1617830418333545,-0.5066922926263007,0.14329303149831366,3080002,0.18161510636000436,-1.2758907064043246
0,100001,50,307,-0.32195336564085353,0.19057107982996133,-0.07101371029816192,-0.6141054691532962,-0.4066767959241476,1.0958940076744208,-1.1193812580847549,0.17302450781637166,3080003,0.23115258761732535,-2.2209342102247107
0,100001,50,398,-0.7303870132333006,-0.7081948892882199,-0.0062029363643622175,-1.0694615936261658,0.3778436746101174,0.4293059446902779,-0.555561786105658,0.14961827122153207,3080004,0.1698724489795919,-1.4046781774228696
0,100001,50,457,-0.8250291940860606,-0.6322339175476436,-0.029799376627720014,-1.6780687913463443,0.2346694710229601,1.5054111254178244,-0.5935706388030618,0.14454185430040556,3080005,0.1700148809523809,-1.3240237565855986
0,100001,50,414,-0.2676658006696072,0.3387077643409556,-0.0831873653746447,-0.4513580582893023,-0.5440866759238693,0.6075572551554419,-0.5140401032397882,0.15229166666666666,3080006,0.17210884353741493,-0.959618947043113
0,100001,50,412,-0.3879866788641265,0.3197029494232139,-0.0974279728971294,-0.5198195806201246,-0.5932839369255442,-0.1283872647088138,-0.749274288771856,0.15424858967977442,3080007,0.19474524503679014,-1.3500711185191054
0,100001,50,472,0.041254638749778375,0.28931138771813525,-0.03327961695361892,0.17618799829677842,-0.3056282702164811,-0.18549735947968754,-0.04498306494215133,0.1297983479105927,3080008,0.1335112748803225,-0.2681127883217141
0,100001,50,446,-0.5738543803747423,-0.33868330209390146,-0.03436622036990683,-0.5862926790914813,0.04803163162435114,-0.13715614356831193,-0.9253651202033856,0.17714069754886086,3080009,0.1849876314162029,-1.1917977438198384
